epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5947,1.15658,0.91907,0.97702,0.73377,0.64687,0.68075,0.41827,1.27843,2.1478,0.96582,4e-05,4e-05,4e-05
2,16.0842,1.10527,0.86446,0.97487,0.81886,0.54171,0.73194,0.43619,1.31344,2.09947,0.9661,9.802e-05,9.802e-05,9.802e-05
3,18.6107,0.95243,0.79861,0.94862,0.86387,0.43743,0.77785,0.46611,1.31665,2.02473,0.96287,0.000153664,0.000153664,0.000153664
4,20.873,1.05697,0.7929,0.94225,0.88891,0.43273,0.78241,0.50695,1.24442,1.8994,0.94704,0.000206932,0.000206932,0.000206932
5,22.9299,0.96431,0.7659,0.93285,0.85751,0.51007,0.7732,0.48961,1.25568,1.79118,0.94999,0.000257824,0.000257824,0.000257824
6,24.9406,0.98077,0.70253,0.94452,0.86172,0.54851,0.79303,0.4772,1.30815,1.73185,0.95685,0.00030634,0.00030634,0.00030634
7,27.524,1.01839,0.80074,0.935,0.86405,0.62778,0.79473,0.4911,1.30998,1.6294,0.96137,0.00035248,0.00035248,0.00035248
8,29.347,0.9724,0.66946,0.95519,0.85308,0.70195,0.79495,0.49559,1.30471,1.54351,0.97032,0.000396244,0.000396244,0.000396244
9,31.5815,0.98424,0.7116,0.94684,0.84434,0.82821,0.82239,0.51631,1.2435,1.3668,0.96006,0.000437632,0.000437632,0.000437632
10,35.3923,0.94168,0.69384,0.9197,0.83567,0.85048,0.82477,0.51138,1.2438,1.31359,0.96101,0.000476644,0.000476644,0.000476644
11,39.4571,0.98303,0.72632,0.91299,0.82367,0.86192,0.81169,0.48501,1.23899,1.14223,0.95399,0.00051328,0.00051328,0.00051328
12,42.4645,0.99195,0.71982,0.96336,0.8169,0.84687,0.79023,0.474,1.23224,1.089,0.95734,0.00054754,0.00054754,0.00054754
13,45.2508,0.96761,0.73274,0.96709,0.79696,0.79958,0.77962,0.46865,1.41948,1.04569,1.03353,0.000579424,0.000579424,0.000579424
