epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3776,1.56517,3.43073,1.32121,0.01311,0.06257,0.0119,0.00817,1.37531,3.47098,1.18877,4e-05,4e-05,4e-05
2,13.1465,1.52638,3.38703,1.33737,0.02867,0.1368,0.01631,0.00951,1.31323,3.40644,1.1085,9.802e-05,9.802e-05,9.802e-05
3,16.516,1.1474,3.21427,1.15085,0.06889,0.32874,0.04904,0.02931,1.48468,3.29173,1.08933,0.000153664,0.000153664,0.000153664
4,18.8348,1.22081,3.04206,1.04358,0.13156,0.62778,0.14456,0.09047,1.28947,3.17398,0.97279,0.000206932,0.000206932,0.000206932
5,20.9186,1.13028,2.75043,1.00642,0.13667,0.65217,0.16808,0.09438,1.44574,3.20166,1.04507,0.000257824,0.000257824,0.000257824
6,23.4141,1.15656,2.35234,0.99196,0.14133,0.67444,0.1909,0.11144,1.41146,3.16245,1.02372,0.00030634,0.00030634,0.00030634
7,26.506,1.16764,2.35183,0.98125,0.14778,0.7052,0.21242,0.13273,1.28255,3.06866,0.96161,0.00035248,0.00035248,0.00035248
8,28.5477,1.14653,1.96486,0.99621,0.15156,0.72322,0.22577,0.14286,1.27149,3.027,0.96184,0.000396244,0.000396244,0.000396244
9,31.7466,1.15895,1.91529,0.98402,0.15444,0.73701,0.23601,0.14668,1.30156,2.95028,0.97927,0.000437632,0.000437632,0.000437632
10,35.7617,1.13179,1.81346,0.95599,0.15667,0.74761,0.2309,0.14228,1.29639,2.91452,0.96991,0.000476644,0.000476644,0.000476644
11,39.0607,1.16124,1.7177,0.94254,0.16067,0.7667,0.22657,0.13759,1.34874,2.83836,0.97755,0.00051328,0.00051328,0.00051328
12,41.4867,1.17731,1.42488,1.00572,0.162,0.77306,0.23809,0.14474,1.3161,2.80948,0.97827,0.00054754,0.00054754,0.00054754
13,44.3386,1.12726,1.28288,0.9869,0.15422,0.73595,0.25394,0.14065,1.44987,2.85248,1.04727,0.000579424,0.000579424,0.000579424
14,46.8795,1.28599,1.33035,0.98482,0.15533,0.74125,0.26396,0.14895,1.41718,2.83321,1.02698,0.000608932,0.000608932,0.000608932
15,49.7032,1.11833,1.0826,0.97227,0.16422,0.78367,0.31992,0.21791,1.32253,2.70329,0.96447,0.000636064,0.000636064,0.000636064
16,52.8235,1.11038,1.04602,0.97521,0.16644,0.79427,0.33102,0.22453,1.34549,2.69291,0.97327,0.00066082,0.00066082,0.00066082
17,54.939,1.10498,0.92462,0.99244,0.16622,0.79321,0.37808,0.2413,1.33137,2.59029,0.98506,0.0006832,0.0006832,0.0006832
18,58.1289,1.12405,0.91935,0.97012,0.17956,0.85684,0.52088,0.32977,1.30248,2.46199,0.97254,0.000703204,0.000703204,0.000703204
19,60.4825,1.11274,0.92327,0.95545,0.26514,0.90138,0.67359,0.41501,1.27356,2.30538,0.95994,0.000720832,0.000720832,0.000720832
20,63.6144,1.05781,0.80583,0.98143,0.80284,0.63046,0.74434,0.45288,1.28723,2.18796,0.96032,0.000736084,0.000736084,0.000736084
21,67.556,1.00106,0.84055,0.94952,0.85334,0.3949,0.73853,0.44922,1.31829,2.14384,0.97205,0.00074896,0.00074896,0.00074896
22,70.6275,1.07982,0.92192,1.01389,0.8508,0.32051,0.69814,0.4338,1.29884,2.10609,0.96746,0.00075946,0.00075946,0.00075946
23,73.6973,0.9885,0.76116,0.96174,0.82086,0.34358,0.69955,0.42787,1.26795,2.03059,0.96106,0.000767584,0.000767584,0.000767584
24,76.7762,1.07975,0.80735,0.94634,0.84177,0.41748,0.7318,0.44565,1.26036,1.91405,0.95921,0.000773332,0.000773332,0.000773332
25,79.9247,1.03657,0.76757,0.94902,0.86584,0.55437,0.77369,0.47467,1.25832,1.75684,0.95597,0.000776704,0.000776704,0.000776704
26,82.9453,1.01205,0.77666,0.97631,0.84548,0.73109,0.80267,0.48214,1.30222,1.57387,0.97219,0.0007777,0.0007777,0.0007777
27,85.2217,0.99296,0.76727,0.95912,0.8274,0.79813,0.80547,0.48823,1.30184,1.39509,0.98,0.00077632,0.00077632,0.00077632
28,88.0844,1.05035,0.7446,0.94699,0.81879,0.82893,0.81765,0.50982,1.25203,1.23675,0.96381,0.000772564,0.000772564,0.000772564
29,92.7516,0.9588,0.66743,0.94809,0.81879,0.82893,0.81765,0.50982,1.25203,1.23675,0.96381,0.000766432,0.000766432,0.000766432
30,96.2533,0.97665,0.70175,0.93705,0.83628,0.86666,0.85115,0.52533,1.23369,1.09102,0.96,0.000757924,0.000757924,0.000757924
31,98.9897,0.95347,0.65625,0.93786,0.83451,0.85561,0.83202,0.51008,1.25559,0.99007,0.97685,0.00074704,0.00074704,0.00074704
32,101.973,1.01326,0.70589,0.96397,0.82716,0.84836,0.82728,0.48806,1.3011,0.93643,0.99802,0.00073378,0.00073378,0.00073378
33,104.684,1.01984,0.6782,0.93666,0.82716,0.84836,0.82728,0.48806,1.3011,0.93643,0.99802,0.000718144,0.000718144,0.000718144
34,108.17,1.00112,0.70507,0.93861,0.83807,0.86167,0.83575,0.51055,1.24013,0.87327,0.97788,0.0006932,0.0006932,0.0006932
35,110.793,0.93919,0.648,0.95095,0.83429,0.85426,0.8375,0.51471,1.22002,0.82342,0.97341,0.0006536,0.0006536,0.0006536
36,115.099,0.90315,0.62526,0.94786,0.81966,0.8526,0.82304,0.49355,1.2768,0.81271,0.99454,0.000614,0.000614,0.000614
37,118.426,0.91829,0.63605,0.92643,0.81966,0.8526,0.82304,0.49355,1.2768,0.81271,0.99454,0.0005744,0.0005744,0.0005744
38,120.869,0.92492,0.61841,0.9386,0.81877,0.86234,0.83436,0.50078,1.27709,0.78978,0.99708,0.0005348,0.0005348,0.0005348
39,123.795,0.95421,0.63157,0.9412,0.84002,0.86865,0.84597,0.52438,1.21688,0.76185,0.97578,0.0004952,0.0004952,0.0004952
40,127.095,0.94922,0.60039,0.94182,0.82502,0.89608,0.85017,0.52845,1.21735,0.75103,0.97743,0.0004556,0.0004556,0.0004556
41,142.398,0.94941,0.6985,0.94393,0.82502,0.89608,0.85017,0.52845,1.21735,0.75103,0.97743,0.000416,0.000416,0.000416
42,145,0.92554,0.70215,0.93485,0.84226,0.87202,0.84909,0.51827,1.25716,0.75357,0.99532,0.0003764,0.0003764,0.0003764
43,147.871,0.90499,0.65598,0.93048,0.83325,0.86905,0.83775,0.50303,1.29924,0.75826,1.01553,0.0003368,0.0003368,0.0003368
44,150.31,0.92436,0.7154,0.93654,0.82758,0.8579,0.83341,0.49917,1.30944,0.76013,1.024,0.0002972,0.0002972,0.0002972
45,153.64,0.88817,0.60948,0.94304,0.82758,0.8579,0.83341,0.49917,1.30944,0.76013,1.024,0.0002576,0.0002576,0.0002576
46,156.295,0.9813,0.67731,0.9356,0.8309,0.8526,0.83217,0.50687,1.27063,0.75466,1.01132,0.000218,0.000218,0.000218
