epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.945,1.56517,3.43073,1.32121,0.01311,0.06257,0.0119,0.00817,1.37531,3.47098,1.18877,4e-05,4e-05,4e-05
2,150.611,1.52644,3.38704,1.33719,0.02844,0.13574,0.01617,0.00937,1.31264,3.4047,1.10831,9.85857e-05,9.85857e-05,9.85857e-05
3,154.005,1.14692,3.21323,1.1502,0.07044,0.33616,0.05184,0.03093,1.4832,3.28981,1.08767,0.000155474,0.000155474,0.000155474
4,156.532,1.21809,3.04095,1.04318,0.13111,0.62566,0.13489,0.08523,1.28965,3.17756,0.97436,0.000210666,0.000210666,0.000210666
5,158.766,1.12728,2.75087,1.00901,0.13756,0.65642,0.17422,0.09666,1.45474,3.20479,1.05429,0.00026416,0.00026416,0.00026416
6,161.129,1.15662,2.34236,0.99304,0.14111,0.67338,0.19493,0.11415,1.41229,3.15951,1.02536,0.000315957,0.000315957,0.000315957
7,164.019,1.17095,2.33807,0.98276,0.15222,0.72641,0.22437,0.14364,1.27982,3.06492,0.96039,0.000366057,0.000366057,0.000366057
8,165.939,1.14684,1.94441,0.99752,0.15533,0.74125,0.2369,0.15126,1.27256,3.02325,0.96261,0.00041446,0.00041446,0.00041446
9,168.864,1.16798,1.89347,0.98611,0.156,0.74443,0.25213,0.15541,1.31418,2.94927,0.98547,0.000461166,0.000461166,0.000461166
10,172.539,1.14184,1.78765,0.95869,0.15711,0.74973,0.24246,0.14906,1.29702,2.91164,0.97226,0.000506174,0.000506174,0.000506174
11,175.734,1.1623,1.68725,0.94361,0.16222,0.77413,0.23864,0.14469,1.35509,2.83053,0.98407,0.000549486,0.000549486,0.000549486
12,178.146,1.1915,1.39664,1.01054,0.16244,0.77519,0.2486,0.15181,1.31645,2.80868,0.98194,0.0005911,0.0005911,0.0005911
13,180.98,1.13109,1.2597,0.98813,0.15289,0.72959,0.24885,0.14078,1.44613,2.8627,1.04219,0.000631017,0.000631017,0.000631017
14,183.466,1.27208,1.29003,0.98127,0.15244,0.72747,0.26037,0.15342,1.39086,2.83095,1.01357,0.000669237,0.000669237,0.000669237
15,186.448,1.10681,1.04998,0.972,0.16978,0.81018,0.3249,0.21863,1.35193,2.66994,0.9743,0.00070576,0.00070576,0.00070576
16,189.775,1.11308,1.01645,0.97904,0.17267,0.82397,0.33562,0.22323,1.36461,2.65037,0.97964,0.000740586,0.000740586,0.000740586
17,191.987,1.09617,0.90298,0.99124,0.17444,0.83245,0.41703,0.2626,1.30346,2.48417,0.9752,0.000773714,0.000773714,0.000773714
18,195.164,1.12129,0.89377,0.97149,0.18444,0.88017,0.56497,0.35062,1.27811,2.3347,0.96743,0.000805146,0.000805146,0.000805146
19,197.444,1.10084,0.892,0.95448,0.63536,0.76882,0.69055,0.40364,1.29876,2.16102,0.96924,0.00083488,0.00083488,0.00083488
20,200.353,1.07979,0.79682,0.98847,0.84654,0.57329,0.75021,0.43438,1.3356,2.0559,0.97619,0.000862917,0.000862917,0.000862917
21,203.594,1.02578,0.82346,0.95706,0.87133,0.46448,0.76562,0.45718,1.31505,1.99863,0.97301,0.000889257,0.000889257,0.000889257
22,206.712,1.06506,0.91381,1.01104,0.83918,0.45376,0.74516,0.45009,1.28013,1.94779,0.96715,0.0009139,0.0009139,0.0009139
23,209.672,0.98682,0.74388,0.96424,0.85681,0.50765,0.75612,0.45893,1.25421,1.84336,0.96317,0.000936846,0.000936846,0.000936846
24,213.089,1.06954,0.78584,0.9461,0.86299,0.66129,0.80444,0.48837,1.24497,1.68238,0.95859,0.000958094,0.000958094,0.000958094
25,216.101,1.01655,0.75043,0.94704,0.86525,0.78988,0.83468,0.50576,1.25497,1.47883,0.95809,0.000977646,0.000977646,0.000977646
26,218.911,1.00725,0.75963,0.97211,0.85036,0.83761,0.83535,0.5109,1.27613,1.30031,0.96792,0.0009955,0.0009955,0.0009955
27,221.127,0.99651,0.74601,0.95524,0.84415,0.8558,0.84875,0.52882,1.24792,1.16173,0.96341,0.00101166,0.00101166,0.00101166
28,223.777,1.04747,0.72923,0.94646,0.84548,0.8632,0.8678,0.54786,1.23294,1.0834,0.95528,0.00102612,0.00102612,0.00102612
29,227.231,0.98183,0.67177,0.95742,0.84548,0.8632,0.8678,0.54786,1.23294,1.0834,0.95528,0.00103888,0.00103888,0.00103888
30,230.567,0.99107,0.69775,0.94431,0.84718,0.85896,0.85548,0.53255,1.23798,0.99278,0.9647,0.00104995,0.00104995,0.00104995
31,233.127,0.97018,0.65903,0.94285,0.8145,0.83775,0.80818,0.48818,1.26107,0.92318,0.99126,0.00105931,0.00105931,0.00105931
32,235.52,1.02804,0.69172,0.96602,0.81464,0.85472,0.81788,0.50288,1.23074,0.87502,0.98277,0.00106699,0.00106699,0.00106699
33,237.875,1.02712,0.66797,0.94088,0.81464,0.85472,0.81788,0.50288,1.23074,0.87502,0.98277,0.00107296,0.00107296,0.00107296
34,241.11,1.03679,0.69385,0.95168,0.84736,0.87169,0.85951,0.53601,1.20052,0.82864,0.96434,0.00106657,0.00106657,0.00106657
35,243.727,0.99488,0.65282,0.97002,0.84693,0.88598,0.85902,0.53905,1.18514,0.79123,0.95906,0.00103829,0.00103829,0.00103829
36,247.298,0.93985,0.64846,0.96024,0.84016,0.86952,0.84242,0.51076,1.25177,0.7844,0.99176,0.00101,0.00101,0.00101
37,250.829,0.96463,0.626,0.93649,0.84016,0.86952,0.84242,0.51076,1.25177,0.7844,0.99176,0.000981714,0.000981714,0.000981714
38,253.079,0.94805,0.62191,0.94203,0.8099,0.85391,0.82001,0.49818,1.26257,0.78088,1.00202,0.000953429,0.000953429,0.000953429
39,255.781,1.00231,0.6405,0.95266,0.81313,0.86744,0.83221,0.51785,1.20453,0.76444,0.98176,0.000925143,0.000925143,0.000925143
40,258.606,0.96566,0.5961,0.94896,0.81727,0.88219,0.84443,0.53476,1.19768,0.75364,0.97914,0.000896857,0.000896857,0.000896857
41,261.477,0.94031,0.66007,0.94962,0.81727,0.88219,0.84443,0.53476,1.19768,0.75364,0.97914,0.000868571,0.000868571,0.000868571
42,265.321,0.96398,0.61955,0.93211,0.83301,0.87699,0.84482,0.52104,1.25241,0.74892,1.00112,0.000840286,0.000840286,0.000840286
43,267.591,0.9443,0.6335,0.95008,0.83546,0.87169,0.83565,0.48395,1.33298,0.76374,1.02681,0.000812,0.000812,0.000812
44,269.952,0.89885,0.59359,0.964,0.8148,0.88653,0.83409,0.49239,1.24611,0.75653,0.99559,0.000783714,0.000783714,0.000783714
