epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,63.3245,1.21955,2.42344,1.0085,0.12398,0.92536,0.37368,0.25765,1.03057,2.86745,0.91011,4e-05,4e-05,4e-05
2,65.6357,1.16865,2.29914,1.00298,0.12797,0.9551,0.38312,0.26737,1.00264,2.85928,0.90515,9.802e-05,9.802e-05,9.802e-05
3,67.8535,1.04502,2.10108,0.98369,0.12894,0.96238,0.40014,0.28304,1.02112,2.85063,0.9136,0.000153664,0.000153664,0.000153664
4,70.0523,1.16172,2.03037,0.9646,0.12951,0.96663,0.40335,0.27952,1.04437,2.84224,0.92533,0.000206932,0.000206932,0.000206932
5,72.1924,1.0942,1.83301,0.95997,0.12959,0.96723,0.4048,0.28231,1.02441,2.85427,0.93155,0.000257824,0.000257824,0.000257824
6,74.1588,1.13284,1.48974,0.97168,0.12935,0.96541,0.3933,0.26911,1.0782,2.80976,0.94148,0.00030634,0.00030634,0.00030634
7,76.2078,1.13885,1.60861,0.95553,0.12935,0.96541,0.39482,0.26902,1.07137,2.74263,0.93776,0.00035248,0.00035248,0.00035248
8,78.2282,1.09324,1.27879,0.97347,0.12984,0.96905,0.40121,0.28252,1.02919,2.69909,0.92634,0.000396244,0.000396244,0.000396244
9,80.3878,1.1325,1.28016,0.96898,0.12854,0.95934,0.45848,0.32679,1.14832,2.58106,0.9592,0.000437632,0.000437632,0.000437632
10,82.4628,1.06173,1.23651,0.93601,0.12976,0.96845,0.52512,0.35785,1.22168,2.53174,0.97551,0.000476644,0.000476644,0.000476644
11,85.0469,1.09624,1.20731,0.92968,0.24695,0.97209,0.61774,0.4061,1.25654,2.43475,0.98541,0.00051328,0.00051328,0.00051328
12,87.1012,1.08218,1.03813,0.97916,0.4962,0.60133,0.64236,0.46199,1.12971,2.40066,0.95387,0.00054754,0.00054754,0.00054754
13,89.1777,1.04267,0.97935,0.97366,0.95539,0.36384,0.69043,0.50279,1.1159,2.24802,0.94744,0.000579424,0.000579424,0.000579424
14,91.3667,1.1342,1.00889,0.95208,0.94162,0.40231,0.68868,0.48975,1.21043,2.10987,0.96766,0.000608932,0.000608932,0.000608932
15,93.495,1.05805,0.86105,0.9696,0.9101,0.47917,0.8245,0.5862,1.12302,1.8031,0.94922,0.000636064,0.000636064,0.000636064
16,95.5843,1.01574,0.85766,0.95232,0.92525,0.5934,0.90307,0.65085,1.06887,1.65121,0.93687,0.00066082,0.00066082,0.00066082
17,97.6892,1.04569,0.78427,0.97098,0.96113,0.87018,0.96602,0.64506,1.18785,1.35376,0.98125,0.0006832,0.0006832,0.0006832
18,99.7091,1.00647,0.78738,0.94336,0.95509,0.90327,0.96908,0.6133,1.28727,1.23514,1.01118,0.000703204,0.000703204,0.000703204
19,101.759,0.99532,0.79255,0.93044,0.95665,0.924,0.97667,0.63055,1.2592,1.15157,0.99981,0.000720832,0.000720832,0.000720832
20,103.878,1.04365,0.71517,0.97773,0.9575,0.94322,0.97955,0.69862,1.04174,1.07264,0.93826,0.000736084,0.000736084,0.000736084
21,106.027,1.00813,0.75158,0.94702,0.95846,0.94721,0.98084,0.71338,0.99257,0.98768,0.92411,0.00074896,0.00074896,0.00074896
22,108.154,1.07135,0.83938,1.01019,0.95113,0.95752,0.97943,0.69429,1.02834,0.88858,0.93802,0.00075946,0.00075946,0.00075946
23,110.119,0.9649,0.70474,0.95617,0.95479,0.95328,0.9808,0.6944,1.02925,0.81106,0.93907,0.000767584,0.000767584,0.000767584
24,112.203,1.01552,0.72957,0.92761,0.95221,0.95752,0.98319,0.6914,1.03677,0.76017,0.94194,0.000773332,0.000773332,0.000773332
25,114.316,0.97379,0.69655,0.93072,0.95758,0.96481,0.98814,0.69849,1.03029,0.7346,0.9378,0.000776704,0.000776704,0.000776704
26,116.361,0.98503,0.71899,0.95998,0.96352,0.96157,0.98845,0.71335,0.97134,0.70381,0.91993,0.0007777,0.0007777,0.0007777
27,118.462,0.95826,0.70511,0.94458,0.95787,0.96056,0.98899,0.71851,0.94248,0.67722,0.91353,0.00077632,0.00077632,0.00077632
28,120.686,0.99492,0.68841,0.93344,0.95893,0.95934,0.98793,0.70115,1.0011,0.66633,0.93175,0.000772564,0.000772564,0.000772564
29,122.88,0.95705,0.62614,0.9475,0.95893,0.95934,0.98793,0.70115,1.0011,0.66633,0.93175,0.000766432,0.000766432,0.000766432
30,125.13,0.96364,0.64889,0.93221,0.96332,0.9642,0.98939,0.71619,0.98042,0.64954,0.92982,0.000757924,0.000757924,0.000757924
31,127.301,0.94517,0.6139,0.93303,0.97048,0.95764,0.98995,0.73819,0.9169,0.62825,0.9155,0.00074704,0.00074704,0.00074704
32,129.698,0.99633,0.66449,0.95304,0.96958,0.95631,0.98953,0.73761,0.91014,0.60477,0.91795,0.00073378,0.00073378,0.00073378
33,132.016,1.00365,0.64384,0.93191,0.96958,0.95631,0.98953,0.73761,0.91014,0.60477,0.91795,0.000718144,0.000718144,0.000718144
34,134.462,0.98335,0.66712,0.93228,0.96048,0.96541,0.98833,0.71878,0.94871,0.59621,0.93558,0.0006932,0.0006932,0.0006932
35,136.851,0.93543,0.61612,0.94776,0.96171,0.96019,0.9878,0.7192,0.93137,0.59241,0.92976,0.0006536,0.0006536,0.0006536
36,139.961,0.89559,0.61156,0.94186,0.9497,0.97375,0.98785,0.72969,0.8992,0.5848,0.91551,0.000614,0.000614,0.000614
37,142.71,0.92037,0.6083,0.92125,0.9497,0.97375,0.98785,0.72969,0.8992,0.5848,0.91551,0.0005744,0.0005744,0.0005744
38,145.16,0.91215,0.58998,0.92897,0.96153,0.96723,0.98826,0.73409,0.8798,0.5728,0.91101,0.0005348,0.0005348,0.0005348
39,147.781,0.93827,0.60125,0.93088,0.96615,0.9699,0.98889,0.73152,0.8807,0.56509,0.91618,0.0004952,0.0004952,0.0004952
40,150.098,0.91122,0.57217,0.92963,0.96794,0.97094,0.98961,0.73245,0.8829,0.55582,0.92008,0.0004556,0.0004556,0.0004556
41,160.151,0.94962,0.70221,0.94144,0.96794,0.97094,0.98961,0.73245,0.8829,0.55582,0.92008,0.000416,0.000416,0.000416
42,162.632,0.91888,0.69029,0.92958,0.96792,0.97037,0.99034,0.74057,0.86743,0.54646,0.91277,0.0003764,0.0003764,0.0003764
